"e","n","elev","zone","wrb1","LC","Clay1","Clay2","Clay5","CEC1","CEC2","CEC5","OC1","OC2","OC5"
"1",702638,326959, 657,"2","3","FF",72,74,78,13.6,10.1, 7.1, 5.500,3.100,1.500
"2",701659,326772, 628,"2","3","FF",71,75,80,12.6, 8.2, 7.4, 3.200,1.700,1.000
"3",703488,322133, 840,"1","3","FV",61,59,66,21.7,10.2, 6.6, 6.980,2.400,1.300
"4",703421,322508, 707,"1","3","FV",55,62,61,11.6, 8.4, 8.0, 3.190,1.500,1.260
"5",703358,322846, 670,"2","3","FV",47,56,53,14.9, 9.2, 8.5, 4.400,1.200,0.800
"6",702334,324551, 780,"1","3","FV",49,53,57,18.2,11.6, 6.2, 5.310,3.200,1.080
"7",681328,311602, 720,"1","3","FF",63,66,70,14.9, 7.4, 5.4, 4.550,2.150,1.225
"8",681508,311295, 657,"2","3","FF",59,66,72,14.6, 7.1, 7.0, 4.500,1.420,1.300
"9",681230,311053, 600,"2","3","FV",46,56,70, 7.9, 5.7, 4.5, 2.300,1.360,0.900
"10",683989,311685, 720,"1","3","FV",62,63,62,14.9, 6.8, 6.0, 7.340,2.540,1.700
"11",697665,337414, 640,"2","3","FV",45,48,51,15.8, 9.2, 6.5, 5.000,1.940,1.100
"12",696905,337974, 588,"2","3","FV",36,45,55,12.5, 5.5, 5.8, 3.850,1.400,0.400
"13",692420,324675,1000,"1","2","FV",48,50,54,23.3,13.9,10.8, 6.000,1.700,0.800
"14",692539,322735, 880,"1","2","FV",28,35,35,13.2, 9.7,10.3, 3.020,1.200,1.050
"15",692687,325952, 780,"1","2","FV",22,28,35, 8.7, 6.7, 8.5, 1.950,0.840,0.450
"16",692993,327812, 615,"2","3","FV",52,50,58,19.4,15.0, 8.1, 4.420,3.300,0.740
"17",680981,310897, 591,"2","3","FF",20,39,43, 5.9, 3.5, 3.8, 2.600,0.900,0.700
"18",685992,313274, 668,"2","3","FV",33,43,56, 7.0, 2.5, 2.6, 2.820,1.700,1.000
"19",679277,325801, 380,"3","3","FV",21,27,34, 7.1, 4.7, 4.9, 2.880,1.080,0.725
